claim_id,summary_stage,summary_path,materiality,claim_type,reviewer,review_status,source_ids,source_id_count,summary_status,no_go_note
CLM-0013,Stage 16A,evidence/claim_summaries/summaries/clm-0013.md,high,governance_legal_funding,WECA Governance Agent,verified_simulation,SRC-WECA-0001;SRC-WECA-0003;SRC-WECA-0004;SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023;SRC-BCC-0004;SRC-BCC-0014;SRC-BCC-0006,15,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0014,Stage 16A,evidence/claim_summaries/summaries/clm-0014.md,high,legal_governance,Legal Review Agent,verified_simulation,SRC-LEG-0017;SRC-LEG-0018;SRC-LEG-0020;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023,10,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0015,Stage 16A,evidence/claim_summaries/summaries/clm-0015.md,high,governance_legal_evidence,WECA Governance Agent,verified_simulation,SRC-WECA-0017;SRC-WECA-0018;SRC-WECA-0019;SRC-WECA-0020;SRC-WECA-0021;SRC-WECA-0022;SRC-WECA-0023;SRC-WECA-0024;SRC-WECA-0025;SRC-WECA-0026;SRC-WECA-0027;SRC-WECA-0028;SRC-WECA-0029,13,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0016,Stage 16A,evidence/claim_summaries/summaries/clm-0016.md,high,governance_legal_funding,Funding Assurance Agent,verified_simulation,SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0024;SRC-WECA-0028;SRC-WECA-0029;SRC-BCC-0004;SRC-BCC-0014,7,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0017,Stage 16A,evidence/claim_summaries/summaries/clm-0017.md,high,governance_legal_funding,Legal Review Agent,verified_simulation,SRC-WECA-0006;SRC-WECA-0007;SRC-WECA-0029,3,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0018,Stage 16A,evidence/claim_summaries/summaries/clm-0018.md,high,legal_governance,Legal Review Agent,verified_simulation,SRC-LEG-0017;SRC-LEG-0018;SRC-LEG-0003;SRC-LEG-0020;SRC-LEG-0011;SRC-BCC-0029;SRC-BCC-0030;SRC-BCC-0032;SRC-BCC-0033;SRC-BCC-0034,10,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0019,Stage 16A,evidence/claim_summaries/summaries/clm-0019.md,high,appraisal_legal,Appraisal Guidance Agent,verified_simulation,SRC-DFT-0001;SRC-DFT-0002,2,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0020,Stage 16A,evidence/claim_summaries/summaries/clm-0020.md,high,legal_evidence,Legal Review Agent,verified_simulation,SRC-DFT-0003;SRC-DFT-0004,2,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0021,Stage 16A,evidence/claim_summaries/summaries/clm-0021.md,high,legal_consultation,Legal Review Agent,verified_simulation,SRC-LEG-0026;SRC-LEG-0003;SRC-LEG-0011;SRC-LEG-0027;SRC-LEG-0020,5,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0022,Stage 16A,evidence/claim_summaries/summaries/clm-0022.md,high,appraisal_control,TAG/Appraisal Review Agent,verified_simulation,SRC-DFT-0001;SRC-DFT-0002;SRC-HMT-0001,3,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0023,Stage 16A,evidence/claim_summaries/summaries/clm-0023.md,high,strategic_control,Strategic Case Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0024,Stage 16A,evidence/claim_summaries/summaries/clm-0024.md,high,obc_control,Integrated Case Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0025,Stage 16A,evidence/claim_summaries/summaries/clm-0025.md,high,consultation_control,Consultation Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0026,Stage 16A,evidence/claim_summaries/summaries/clm-0026.md,high,public_officer_control,Officer Assurance Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0027,Stage 16A,evidence/claim_summaries/summaries/clm-0027.md,high,obc_control,Integrated Case Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0028,Stage 16A,evidence/claim_summaries/summaries/clm-0028.md,high,statutory_control,Legal Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0029,Stage 16A,evidence/claim_summaries/summaries/clm-0029.md,high,fbc_statutory_control,Integrated Case Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0030,Stage 16A,evidence/claim_summaries/summaries/clm-0030.md,high,publication_control,Public Release Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0031,Stage 16A,evidence/claim_summaries/summaries/clm-0031.md,high,handover_control,Handover Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0032,Stage 16A,evidence/claim_summaries/summaries/clm-0032.md,high,source_note_control,Evidence Librarian,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0033,Stage 16A,evidence/claim_summaries/summaries/clm-0033.md,high,public_release_security_control,Public Release Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0034,Stage 16A,evidence/claim_summaries/summaries/clm-0034.md,high,history_rewrite_control,Public Release Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0035,Stage 16A,evidence/claim_summaries/summaries/clm-0035.md,high,history_rewrite_execution_control,Public Release Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0036,Stage 16A,evidence/claim_summaries/summaries/clm-0036.md,high,hosted_alert_disposition_control,Public Release Review Agent,verified_simulation,,0,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0037,Stage 16A,evidence/claim_summaries/summaries/clm-0037.md,high,source_note_control,Evidence Librarian,verified_simulation,SRC-BCC-0005;SRC-BCC-0008;SRC-BCC-0009;SRC-BCC-0010;SRC-BCC-0011;SRC-BCC-0015;SRC-BCC-0016;SRC-BCC-0017;SRC-BCC-0022;SRC-BCC-0023;SRC-BCC-0024;SRC-BCC-0025;SRC-BCC-0026;SRC-BCC-0027;SRC-BCC-0028;SRC-BCC-0029;SRC-BCC-0030;SRC-BCC-0031;SRC-BCC-0032;SRC-BCC-0033;SRC-BCC-0034;SRC-BCC-0035;SRC-BCC-0036;SRC-LEG-0001;SRC-LEG-0003;SRC-LEG-0004;SRC-LEG-0005;SRC-LEG-0006;SRC-LEG-0007;SRC-LEG-0008;SRC-LEG-0011;SRC-LEG-0012;SRC-LEG-0013;SRC-LEG-0017;SRC-LEG-0018;SRC-LEG-0019;SRC-LEG-0020;SRC-LEG-0021;SRC-LEG-0024;SRC-LEG-0025;SRC-LEG-0026;SRC-LEG-0027,42,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
CLM-0038,Stage 16A,evidence/claim_summaries/summaries/clm-0038.md,high,source_note_control,Evidence Librarian,verified_simulation,SRC-WECA-0001;SRC-WECA-0003;SRC-WECA-0004;SRC-WECA-0006;SRC-ACADEMIC-0002;SRC-TFL-0001;SRC-UK-0003;SRC-LEG-0009;SRC-LEG-0010;SRC-HMT-0002;SRC-HMT-0003;SRC-HMT-0004;SRC-DFT-0002;SRC-WECA-0011;SRC-WECA-0012;SRC-WECA-0013;SRC-LEG-0014;SRC-LEG-0015;SRC-LEG-0016;SRC-LEG-0022;SRC-LEG-0023;SRC-WECA-0017;SRC-WECA-0018;SRC-WECA-0019;SRC-WECA-0020;SRC-WECA-0021;SRC-WECA-0022;SRC-WECA-0023;SRC-WECA-0024;SRC-WECA-0025;SRC-WECA-0026;SRC-WECA-0027;SRC-WECA-0028;SRC-WECA-0029;SRC-DFT-0003;SRC-DFT-0004,36,stage_16a_summary_created,Does not close any WPL readiness gate; does not prove claim truth or replace underlying source review.
