requirement_id,legal_source,section_or_regulation,operative_requirement,interpretation,scheme_implication,required_evidence,responsible_owner,reviewer,obc_status,fbc_status,submission_document,risk,decision
LEGAL-011,Workplace Parking Levy England Regulations 2009,reg12 to reg15,appeals are to county court and unpaid penalties may progress to charge certificate and court-order recovery,enforcement case model must support appeal recovery and cancellation outcomes,define appeals recovery and accounting procedure,enforcement-event schema appeals recovery fields and finance procedure,Operations Design Agent,Legal Review Agent,working,open,licensing_enforcement_and_appeals,P1,schema control added
LEGAL-012,Workplace Parking Levy England Regulations 2009,reg16,notices may be served by specified methods including agreed electronic communication,service address and communication consent must be controlled,define notice service policy and evidence of service,service policy and notice log,Operations Design Agent,Legal Review Agent,open,open,licensing_enforcement_and_appeals,P1,not settled
LEGAL-013,Road User Charging and WPL Classes of Motor Vehicles Regulations 2001,reg2 and schedule,vehicle classes must use specified classes and avoid incompatible mass and axle bases,charge or exemption design by vehicle class must use statutory classes,vehicle-class assumptions cannot be free text,vehicle class table linked to scheme order and licensing system,Operations Design Agent,Legal Review Agent,open,open,draft_scheme_order,P1,not settled
LEGAL-014,Bristol governance decision notices and minutes,September 2024 October 2025 March 2026,public decision trail supports Stage One OBC development and later update-only status,no current approval for implementation statutory consultation FBC preferred scheme boundary charge thresholds exemptions order-making or submission,keep scheme parameters as assumptions until later formal decision,decision notices minutes Stage 2D route map and future committee papers,Bristol Governance Agent,Governance Review Agent,working,open,council_resolutions,P1,no-overclaim control added
LEGAL-015,Transport Act 2000 and DfT process controls,s184 and pre-application engagement,confirmation is a formal statutory decision and engagement is not confirmation,DfT contact may evidence expectations only if classified,record each interaction as informal engagement policy expectation procedural requirement formal decision or confirmation material,DfT engagement log and formal confirmation evidence,Legal Review Agent,Legal Review Agent,working,open,dft_pre_application,P1,classification control added
LEGAL-016,WECA/MCA source trail,current WECA MCA law constitution delegations and decision records,strategic alignment does not prove formal support consent objection or no role,WECA role must be classified before promoter route conclusion,route conclusion remains blocked until role is evidenced,consolidated function map constitution meeting-record search and support-status classifier,WECA Governance Agent,Legal Review Agent,open,open,weca_role_and_evidence,P0,not settled
LEGAL-017,Transport Act 2000 Schedule 12,paragraphs 6 to 7,annual accounts and deficit surplus controls required,relevant scheme accounts must be kept and statements prepared,financial model and ledger must support annual statutory account,net proceeds account design annual statement template audit trail,Finance Review Agent,Legal Review Agent,open,open,financial_and_net_proceeds,P1,not settled
LEGAL-018,Transport Act 2000 Schedule 12,paragraph 8 and 11A,net proceeds must be applied for permitted transport-policy purposes,net proceeds cannot be treated as general revenue,transport investment package must link to local transport policies,local transport policy case and investment programme,Finance Review Agent,Legal Review Agent,open,open,local_transport_policy_case,P1,not settled
LEGAL-019,Transport Act 2000 Schedule 12,paragraphs 10 and 11B,opening ten year general plan required for relevant schemes,scheme order dossier must include a general plan,prepare ten year general plan before submission readiness,ten year general plan,Finance Review Agent,Legal Review Agent,open,open,ten_year_general_plan,P1,not settled
LEGAL-020,Transport Act 2000 Schedule 12,paragraphs 10 and 11B,opening five year detailed programme required for relevant schemes,scheme order dossier must include detailed programme,prepare five year programme before submission readiness,five year detailed programme,Finance Review Agent,Legal Review Agent,open,open,five_year_detailed_programme,P1,not settled
LEGAL-021,Road User Charging and WPL Net Proceeds Regulations 2003,regulation 2,amounts received expenses and attribution determined on accruals basis with proper practices,financial model must track receipts costs interest capital financing depreciation impairment refunds and bad debt,create accounting policy and reconciliation to statutory account,accounting policy model card and finance QA,Finance Review Agent,Legal Review Agent,open,open,financial_and_net_proceeds,P1,not settled
LEGAL-022,Public law consultation controls,formative consultation principles and Transport Act consultation mapping,consultation must be formative and conscientiously considered,consultation materials must keep open questions open and record response analysis,consultation launch remains blocked until compliance pack exists,consultation compliance table accessibility pack and decision-maker response report,Consultation Review Agent,Legal Review Agent,open,open,consultation_statement,P1,not settled
LEGAL-023,Judicial review controls,public law rationality fairness vires and evidence sufficiency,open P0/P1 issues must remain visible to decision makers,gate report must prohibit overclaiming legal readiness,decision-makers must see vires evidence gaps and residual risks,judicial review risk register and issue resolution log,Legal Review Agent,Red Team,working,open,legal_review,P1,control added
