exemplar_id,source_id,exemplar_category,project_or_document,source_status,local_reference,pattern_supported,stage32_use,claim_limit,risk_control
EX-WECA-011,SRC-WECA-0008,soc_source_document,Future4WEST Mass Transit Strategic Outline Case,downloaded_extracted,SRC-WECA-0008 lines 9835-9899,Benefits realisation monitoring evaluation and data-collection approval pattern,Use to require WPL benefits/evaluation plan and data governance controls,Does not provide Bristol WPL benefits evidence or monitoring baseline,RISK-0005
EX-WECA-012,SRC-BCC-0036,committee_minutes_route_pattern,City Centre Transport Corridor Bond St FBC submission,downloaded_extracted,SRC-BCC-0036 lines 215-220 and 279-285,Committee approval to submit FBC to MCA and delegate actions subject to MCA approval,Use as conditional decision-route wording pattern,Minutes are not the full FBC and do not evidence WPL approval,RISK-0002 RISK-0045
EX-WECA-013,SRC-BCC-0036,committee_minutes_route_pattern,Redcliffe Roundabout FBC submission,downloaded_extracted,SRC-BCC-0036 lines 294-296 and 324-331,WECA committee or WECA Directors FBC approval dependency,Use as approval-dependency wording pattern,Minutes are not the full FBC and do not evidence WPL approval,RISK-0002 RISK-0045
EX-WECA-014,SRC-BCC-0036,committee_minutes_route_pattern,Southern Gateway and Friary FBC submission,downloaded_extracted,SRC-BCC-0036 lines 339-342 and 377-384,FBC submission to WECA and conditional procurement/delegation,Use as conditional procurement and funding-route wording pattern,Minutes are not the full FBC and do not evidence WPL approval,RISK-0002 RISK-0045
EX-WECA-015,SRC-BCC-0036,committee_minutes_route_pattern,Broadmead and Union Street OBC submission,downloaded_extracted,SRC-BCC-0036 lines 390-394 and 431-448,OBC to WECA funding development to FBC and conditional authority after WECA approval,Use as OBC-to-FBC maturity and conditional funding pattern,Minutes are not the OBC and do not evidence WPL approval,RISK-0002 RISK-0045
EX-WECA-016,SRC-BCC-0015,report_pack_route_pattern,A4018/A37 WP3 FBC funding-route change,extracted_raw_omitted_public_repo,SRC-BCC-0015 lines 879-886,MCA approval requirement can fall away where funding route changes,Use as warning that WECA assurance relevance is trigger-specific,Report pack is not a WPL funding decision and raw PDF is omitted from public repo,RISK-0002 RISK-0011
EX-WECA-017,SRC-BCC-0015,bristol_wpl_status_pattern,March 2026 WPL update,extracted_raw_omitted_public_repo,SRC-BCC-0015 lines 4254-4295 and 4306-4308,WPL OBC was in progress and part of a three-stage path,Use to frame current Bristol WPL simulation status,Does not evidence final OBC completion approval consultation launch or FBC,RISK-0045
EX-WECA-018,SRC-BCC-0015,bristol_wpl_status_pattern,March 2026 WPL update,extracted_raw_omitted_public_repo,SRC-BCC-0015 lines 4340-4361,Parking data feeds modelling options and final OBC; public consultation not typical during OBC; Secretary of State approval before implementation,Use to distinguish OBC modelling from consultation and statutory confirmation,Does not provide model outputs boundary charge or Secretary of State approval,RISK-0003 RISK-0005
EX-WECA-019,SRC-BCC-0015,bristol_wpl_status_pattern,March 2026 WPL update finance advice,extracted_raw_omitted_public_repo,SRC-BCC-0015 lines 4468-4481 and 4506-4520,Formal consultation only if project progresses beyond OBC; GBP1m OBC budget via CAZ Fund; future capital considered at FBC,Use to anchor simulation financial and consultation caveats,Does not evidence consultation launch capital affordability or FBC readiness,RISK-0001 RISK-0005
EX-WECA-020,SRC-WECA-0027,programme_line_pattern,MCA budget outturn programme line,downloaded_extracted,SRC-WECA-0027 lines 1164-1167,Programme line records Bristol to Hengrove Metrobus Extension OBC,Use as additional evidence that WECA programme documents track OBC-stage items,Not an OBC/FBC source document and not WPL evidence,RISK-0045
