issue_id,stage,severity,issue,owner,due_date,target_gate,status,notes
ISS-0011,Stage 6,P1,OBC section evidence assembly and Stage 7 assurance are not complete,Integrated Case Review Agent,,Stage 7 OBC gate,controlled_open,Stage 6A creates section dependency claim dependency no-go claim assurance review and assembly-block controls; no assembled OBC officer-review DOCX or OBC gate readiness exists.
ISS-0012,Stage 8,P1,Consultation launch material production privacy accessibility stakeholder coverage and response analysis readiness are not complete,Consultation Review Agent,,Stage 8 consultation launch gate,controlled_open,Stage 8A creates launch material stakeholder privacy accessibility response-data analysis and no-go controls only; no consultation launch document questionnaire public material response data privacy notice accessibility certification or analysis readiness exists.
ISS-0013,Stage 9A,P1,Public and officer documentation can drift from controlled registers or overstate simulation readiness,Officer Assurance Agent,,Stage 9A public/officer assurance gate,controlled_open,Stage 9A adds public-first documentation validators pitfalls and lessons registers but future edits must keep IDs claims and no-go wording aligned.
ISS-0014,Stage 7A,P1,OBC assurance gate controls exist but no OBC gate evidence packet or proceed recommendation exists,Integrated Case Review Agent,,Stage 7 OBC gate,controlled_open,Stage 7A creates gate checklist panel register decision-report control red-team packet and validator only; it does not assemble an OBC create officer-review DOCX or pass the Stage 7 gate.
ISS-0015,Stage 10A,P1,Statutory dossier controls exist but no statutory submission evidence packet certified order DfT response or FBC exists,Legal Review Agent,,Stage 10 statutory submission gate,controlled_open,Stage 10A creates component register readiness gate no-go register route-memorandum control and clause powers matrix only; it does not create a statutory submission certified order DfT acceptance consultation statement or FBC.
ISS-0016,Stage 11A,P1,FBC/statutory gate controls exist but no FBC evidence packet legal sign-off Section 151 review consultation disposition or implementation readiness exists,Integrated Case Review Agent,,Stage 11 FBC/statutory gate,controlled_open,Stage 11A creates final gate checklist assurance panel no-go register decision-report control red-team packet and validator only; it does not approve an FBC authorise statutory submission or recommend implementation.
ISS-0017,Stage 12A,P1,Public repository visibility could be misconstrued as approval legal advice consultation launch OBC FBC or statutory readiness,Public Release Review Agent,,Stage 12A public release gate,controlled,Stage 12A records public visibility no-go wording publication scans and public-release QA; it does not close any WPL readiness gate.
ISS-0018,Stage 13A,P1,"Critical-path handover work packages or 90-day plan could be misconstrued as programme approval, spend authority, procurement authority, consultation launch or gate closure",Handover Review Agent,,Stage 13A handover control gate,controlled,Stage 13A maps open blockers to work packages and a control-only 90-day plan; it does not close any WPL gate or authorise work beyond simulation planning.
ISS-0019,Stage 14A,P1,Stage 14A source-note pilot could be misconstrued as complete source review claim verification or closure of the acquired-source note backlog,Evidence Librarian,,Stage 14A source-note control gate,controlled_open,Stage 14A creates a pilot source-note cohort and source-note QA only; ISS-0007 and EG-0024 remain open until every acquired priority source has a reviewed note.
ISS-0020,Stage 14B,P1,Public repository evidence files can contain public embed identifiers or token-like strings that trigger hosted secret-scanning alerts or obscure genuine secret exposure.,Public Release Review Agent,,Stage 14B public repo secret-scan control gate,controlled_open,"GitGuardian reported a Grafana-token pattern on 2026-06-26. Investigation found Power BI report identifiers in public BCC committee PDFs/extracted text. Current tree remediation removes the raw PDFs, redacts extracted text and adds a repeatable secret-pattern scanner; git history still contains prior blobs unless separately rewritten with explicit approval."
ISS-0021,Stage 14C,P1,Git history still contains prior detector-collision blobs on the live remote until an explicitly approved history rewrite and force push is performed.,Public Release Review Agent,,Stage 14C history rewrite decision gate,controlled_superseded_by_stage_14d,Stage 14C dry run and approval boundary were superseded by Stage 14D live force-with-lease rewrite. Remote main moved from 20f48c2cf815ab635051a7fb78b69f80c78ee508 to 8a407b9f0e4b48fd6fc0939eb1ead3706e10b9de; hosted alert disposition remains external.
ISS-0022,Stage 14D,P2,"Hosted GitGuardian alert disposition, forks, caches and old local clones may still retain or report pre-rewrite objects after the live history rewrite.",Public Release Review Agent,,Stage 14D post-rewrite follow-up,controlled_open_external_check_required,Stage 14E confirmed GitHub secret scanning is disabled and ggshield is unavailable; GitGuardian alert disposition remains external and must be checked in GitGuardian.
ISS-0023,Stage 14E,P2,GitGuardian hosted alert status cannot be directly observed from this workspace because ggshield is not installed and GitHub secret scanning is disabled.,Public Release Review Agent,,Stage 14E hosted alert disposition gate,controlled_open_external_check_required,Repository-side scans and fresh remote mirror verification are complete; GitGuardian UI or API disposition remains an external follow-up.
ISS-0024,Stage 15A,P1,Stage 15A expands source notes for legal and Bristol governance sources but the wider acquired priority source-note backlog remains open,Evidence Librarian,,Stage 15A source-note expansion gate,controlled_open,"Stage 15A adds 42 expanded notes and validator coverage for the legal/governance cohort, including raw-omitted public-pack controls; ISS-0007 EG-0024 and EG-0038 remain open until every acquired priority source has a reviewed note and high-materiality claims have claim-level summaries."
ISS-0025,Stage 15B,P1,Stage 15B acquired-priority source-note coverage could be misconstrued as evidence completeness claim verification legal clearance or WPL readiness,Evidence Librarian,,Stage 15B source-note completion gate,controlled_open,Stage 15B completes downloaded priority source-note coverage only. Claim-level summaries non-acquired sources and every WPL readiness gate remain open.
ISS-0026,Stage 16A,P1,Stage 16A claim summaries could be misconstrued as claim truth evidence completion legal clearance or WPL readiness,Evidence/Citation Agent,,Stage 16A claim-summary control gate,controlled_open,Stage 16A creates editable summaries for current claim-matrix rows only. Future drafting-specific claims and all WPL readiness gates remain open.
ISS-0027,Stage 17A,P1,Editable authoring outputs could be misconstrued as assembled decision papers distribution packs legal clearance or WPL readiness,Technical Editor Agent,,Stage 17A editable authoring control gate,controlled_open,Stage 17A maps editable controls and blocks OBC FBC statutory consultation officer-review and authored PDF distribution outputs; all WPL readiness gates remain blocked.
ISS-0028,Stage 18A,P1,Nottingham and comparator lessons could be misconstrued as Bristol forecasts selected mitigation CPZ/RPZ readiness charge revenue congestion mode-shift acceptability or employer-behaviour evidence,Comparator Evidence Agent,,Stage 18A Nottingham transferability control gate,controlled_open,Stage 18A hardens transferability matrix displacement checklist public/officer wording and validator; Bristol evidence and all readiness gates remain open.
ISS-0029,Stage 19A,P1,Public and cabinet comprehension controls could be misconstrued as real approval professional assurance user-tested communication or WPL readiness,Public Officer Review Agent,,Stage 19A public/cabinet comprehension control gate,controlled_open,Stage 19A adds reader guides risk atlas crosswalk visual and validator; no user testing professional assurance or WPL readiness gate is created.
ISS-0030,Stage 20A,P2,Static visual and accessibility QA controls could be misconstrued as rendered visual accessibility assurance user testing certification or WPL readiness,Visual Map Review Agent,,Stage 20A visual/accessibility QA control gate,controlled_open,Stage 20A adds visual QA register legends captions text fallbacks and validator; EG-0047 remains open for real rendered accessibility and reader testing evidence.
ISS-0031,Stage 21A,P2,Repo-local link and navigation checks could be misconstrued as external link liveness evidence accuracy content truth public comprehension accessibility assurance or WPL readiness,Navigation Integrity Agent,,Stage 21A link/navigation integrity control gate,controlled_open,Stage 21A adds local link and navigation validators; external URLs content truth evidence accuracy and readiness remain outside scope.
ISS-0032,Stage 22A,P2,Source-link reachability metadata could be misconstrued as source authority legal currentness content completeness evidence truth professional assurance or WPL readiness,Source Liveness Agent,,Stage 22A external-source liveness/currentness metadata gate,controlled_open,Stage 22A records priority-1 URL reachability metadata and redirects; source authority content truth legal currentness GitGuardian disposition and readiness remain outside scope.
ISS-0033,Stage 23A,P2,Register reference checks could be misconstrued as proof that register row substance risk ratings mitigations evidence support or readiness judgements are correct,Register Reference Agent,,Stage 23A register reference integrity gate,controlled_open,Stage 23A validates selected cross-register ID and repo-path resolution only; row meaning evidence truth legal correctness professional assurance and readiness remain outside scope.
ISS-0034,Stage 24A,P2,Dashboard blocker consistency checks could be misconstrued as proof that visible blockers are exhaustive risk-rated correctly mitigated adequately or readiness-relevant,Dashboard Consistency Agent,,Stage 24A dashboard blocker consistency gate,controlled_open,Stage 24A validates selected public/officer blocker surfacing only; blocker completeness row substance risk adequacy mitigation adequacy and readiness remain outside scope.
ISS-0035,Stage 25A,P2,Stage-gate report structure-consistency checks could be misconstrued as proof that commands were historically run or gate judgements are substantively correct,Gate Report Consistency Agent,,Stage 25A stage-gate report structure consistency gate,controlled_open,Stage 25A validates recent report structure and command references only; command execution proof substantive gate correctness evidence truth professional assurance and readiness remain outside scope.
ISS-0036,Stage 26A,P2,Validation evidence logs could be misconstrued as substantive assurance or proof that evidence and readiness have been validated,Validation Evidence Agent,,Stage 26A validation evidence log gate,controlled_open,Stage 26A records bounded command evidence only; evidence truth source currentness legal correctness professional assurance substantive gate correctness and readiness remain outside scope.
